Area;Player Direction;Pass Direction;Offensive Action;Hop/1-2;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Left Wing;Away From Hoop;N/A Off Dribble;PnR;1-2 Left/Right;Make ;Left;Tight;3;2023-2024
Left Wing;Left;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Top;To Hoop;N/A Off Dribble;Iso;1-2 Left/Right;Miss;Left;Open;0;2023-2024
Top;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Corner;Left;Left;Spot Up;Hop  ;Make ;N/A;Wide Open;3;2023-2024
Right Wing;Right;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Right;Wide Open;0;2023-2024
Left Wing;To Hoop;Right;Spot Up;1-2 Left/Right;Make ;N/A;Tight;3;2023-2024
Top;Right;N/A Off Dribble;PnR;Hop  ;Make ;Right;Close;3;2023-2024
Right Wing;Left;From Hoop;Post Kick Out;Hop  ;Miss;N/A;Tight;0;2023-2024
Left Corner;Right;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Left;Left;Pin Down;Hop  ;Make ;N/A;Tight;3;2023-2024
Left Corner;Away From Hoop;Right;Flare;1-2 Left/Right;Make ;N/A;Tight;3;2023-2024
Top;Away From Hoop;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Right to LeftPickup;Tight;0;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;To Hoop;N/A Off Dribble;Iso;1-2 Left/Right;Miss;Left;Tight;0;2023-2024
Right Wing;Right;N/A Off Dribble;Iso;1-2 Right/Left;Miss;Right;Tight;0;2023-2024
Left Corner;Right;Right;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Right;Right;Lift;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Right Wing;Left;From Hoop;DHO;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Right;Right;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Right;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Left to RightPickUp;Tight;0;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Corner;Right;Right;Lift;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Right;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Corner;Stationary;Left;Spot Up;Hop  ;Make ;N/A;Wide Open;3;2023-2024
Left Wing;To Hoop;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Corner;Left;Right;Flare;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Top;Left;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Wing;Away From Hoop;N/A Off Dribble;Iso;1-2 Left/Right;Miss;Right to LeftPickup;Close;0;2023-2024
Left Wing;Left;Right;Drive Kick;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Top;Right;N/A Off Dribble;PnR;Hop  ;Make ;Left to RightPickUp;Wide Open;3;2023-2024
Right Corner;Stationary;Left;Spot Up;Hop  ;Miss;N/A;Tight;0;2023-2024
Right Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Right Wing;Away From Hoop;N/A Off Dribble;Iso;Hop  ;Make ;Left to RightPickUp;Tight;3;2023-2024
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Left;Left;Lift;Hop  ;Make ;N/A;Close;3;2023-2024
Left Wing;Right;N/A Off Dribble;PnR;1-2 Left/Right;Make ;Left to RightPickUp;Close;3;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Stationary;Right;Spot Up;Hop  ;Miss;N/A;Open;0;2023-2024
Left Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;To Hoop;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Top;Right;Left;Spot Up;Hop  ;Make ;N/A;Open;3;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Top;Stationary;Left;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Left Wing;Left;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Top;Left;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Left;Open;0;2023-2024
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;To Hoop;From Hoop;Drive Kick;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Corner;Left;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Right;Right;Post Kick Out;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Corner;Away From Hoop;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Corner;Away From Hoop;Left;Flare;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;To Hoop;Left;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Corner;Stationary;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Top;Right;N/A Off Dribble;PnR;1-2 Left/Right;Make ;Right;Wide Open;3;2023-2024
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Top;Left;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Right Wing;Left;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Corner;Right;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Top;Stationary;Right;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Top;Stationary;Right;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Stationary;From Hoop;Drive Kick;Hop  ;Miss;N/A;Open;0;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Top;Stationary;Right;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Left;Left;Post Kick Out;Hop  ;Make ;N/A;Open;3;2023-2024
Right Wing;Stationary;N/A Off Dribble;Iso;1-2 Left/Right;Miss;Right to LeftPickup;Open;0;2023-2024
Left Wing;Right;Right;Lift;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Right Wing;Right;From Hoop;DHO;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Away From Hoop;N/A Off Dribble;Iso;1-2 Left/Right;Miss;Left;Tight;0;2023-2024
Right Corner;Right;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;To Hoop;N/A Off Dribble;Iso;1-2 Right/Left;Miss;Left;Close;0;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Wing;Left;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Top;Stationary;N/A Off Dribble;Iso;1-2 Left/Right;Miss;Right to LeftPickup;Tight;0;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Right Wing;Stationary;From Hoop;Iso;1-2 Left/Right;Make ;N/A;Tight;3;2023-2024
Left Wing;Right;From Hoop;DHO;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Top;Stationary;Left;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Left;Left;Pin Down;Hop  ;Miss;N/A;Open;0;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;To Hoop;N/A Off Dribble;Iso;1-2 Left/Right;Make ;Right;Close;3;2023-2024
Right Wing;Away From Hoop;Right;Flare;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Right Wing;Stationary;Left;Spot Up;Hop  ;Miss;N/A;Tight;0;2023-2024
Right Wing;Away From Hoop;N/A Off Dribble;Iso;Hop  ;Miss;Right to LeftPickup;Tight;0;2023-2024
Right Wing;To Hoop;From Hoop;Spot Up;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Left Corner;Stationary;Right;Pin Down;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Stationary;Left;Post Kick Out;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Top;Right;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Right;Open;0;2023-2024
Right Wing;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Top;Left;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Top;Away From Hoop;N/A Off Dribble;Post Kick Out;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Right;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Corner;Stationary;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Top;To Hoop;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Corner;Right;Left;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Right;From Hoop;Lift;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Right;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Left;N/A Off Dribble;Iso;Hop  ;Make ;Left to RightPickUp;Close;3;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Top;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Away From Hoop;Right;Flare;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Stationary;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Left;Left;Lift;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Right;From Hoop;DHO;Hop  ;Make ;N/A;Wide Open;3;2023-2024
Top;Left;Left;Spot Up;1-2 Right/Left;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Right;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Corner;Right;Right;Lift;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Corner;Left;Left;Lift;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Left;Right;Post Kick Out;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Corner;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Right;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Away From Hoop;Left;Flare;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Left Wing;Away From Hoop;Right;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Left;Left;Lift;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Wing;Away From Hoop;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Top;Left;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Corner;Left;Right;Flare;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Corner;Right;Right;Lift;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Left;Left;Pin Down;Hop  ;Miss;N/A;Tight;0;2023-2024
Right Wing;Right;N/A Off Dribble;PnR;Hop  ;Make ;Right to LeftPickup;Close;3;2023-2024
Left Corner;Left;Left;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Top;Away From Hoop;From Hoop;Flare;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Away From Hoop;Right;Flare;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Corner;Stationary;Right;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Right Wing;Left;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Stationary;Left;Drive Kick;Hop  ;Miss;N/A;Close;0;2023-2024
Left Wing;Stationary;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Stationary;Left;Spot Up;Hop  ;Make ;N/A;Open;3;2023-2024
Top;To Hoop;From Hoop;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Corner;Stationary;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Corner;Left;Left;Lift;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Right Wing;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Wing;Away From Hoop;Right;Flare;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Left;From Hoop;Drive Kick;Hop  ;Miss;N/A;Tight;0;2023-2024
Left Wing;Right;Right;PnR;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Left Corner;Left;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Left;Left;Lift;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Wing;Stationary;Left;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Top;Right;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Right;Tight;0;2023-2024
Right Wing;Right;Left;Drive Kick;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Make ;Left to RightPickUp;Open;3;2023-2024
Left Corner;Right;Right;Lift;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Right;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Right;Tight;0;2023-2024
Left Corner;Away From Hoop;From Hoop;Spot Up;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Wing;To Hoop;N/A Off Dribble;Iso;1-2 Left/Right;Make ;Right to LeftPickup;Tight;3;2023-2024
Top;Right;N/A Off Dribble;PnR;1-2 Left/Right;Make ;Right;Open;3;2023-2024
Right Wing;Left;N/A Off Dribble;Spot Up;1-2 Right/Left;Miss;Left;Close;0;2023-2024
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Top;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Right Wing;Away From Hoop;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Top;Left;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Left;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Top;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Left;Right;Flare;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Right Wing;Stationary;Left;Spot Up;Hop  ;Make ;N/A;Open;3;2023-2024
Top;Right;N/A Off Dribble;PnR;1-2 Left/Right;Miss;Right;Open;0;2023-2024
Right Wing;Left;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Top;Left;Left;Drive Kick;1-2 Left/Right;Make ;N/A;Wide Open;3;2023-2024
Right Wing;Left;Left;Spot Up;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Left Wing;Stationary;Left;Post Kick Out;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Right Wing;Right;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Top;Stationary;Right;Iso;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Top;Left;Right;Flare;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Right;From Hoop;DHO;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Make ;N/A;Open;3;2023-2024
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;N/A;Close;3;2023-2024
Left Corner;Away From Hoop;Right;Pin Down;1-2 Left/Right;Make ;N/A;Tight;3;2023-2024
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Corner;Stationary;Right;Post Kick Out;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Top;Left;Left;Post Kick Out;1-2 Left/Right;Miss;N/A;Close;0;2023-2024
Left Wing;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Top;Left;Left;Spot Up;1-2 Left/Right;Miss;N/A;Wide Open;0;2023-2024
Right Wing;Left;From Hoop;Post Kick Out;1-2 Left/Right;Miss;N/A;Open;0;2023-2024
Left Wing;Left;From Hoop;Drive Kick;1-2 Left/Right;Miss;N/A;Tight;0;2023-2024
